date,pm25,pm10,o3,no2,so2,co
5/1/2020,38,13,30,19,3,2
5/2/2020,37,16,31,15,2,3
5/3/2020,49,20,34,13,1,2
5/4/2020,53,18,31,12,,2
5/5/2020,28,24,37,16,1,2
5/6/2020,53,29,43,27,1,2
5/7/2020,58,22,47,20,1,3
5/8/2020,67,38,49,20,3,3
5/9/2020,97,29,37,8,3,2
5/10/2020,66,20,26,8,2,3
5/11/2020,41,17,29,16,2,3
5/12/2020,45,15,29,11,2,3
5/13/2020,42,13,30,13,2,3
5/14/2020,38,14,15,22,1,3
5/15/2020,46,,,,,
4/1/2020,58,15,32,32,8,5
4/2/2020,38,20,32,25,9,5
4/3/2020,46,21,36,19,9,4
4/4/2020,56,18,40,13,11,4
4/5/2020,53,18,33,25,7,3
4/6/2020,36,30,35,25,4,4
4/7/2020,49,52,38,28,4,3
4/8/2020,69,54,38,27,5,3
4/9/2020,57,46,38,23,4,3
4/10/2020,76,38,39,26,5,3
4/11/2020,74,29,43,19,7,3
4/12/2020,61,19,31,7,4,4
4/13/2020,46,18,32,17,4,3
4/14/2020,44,31,31,24,5,2
4/15/2020,70,51,31,25,6,2
4/16/2020,115,23,28,12,5,3
4/17/2020,50,27,24,13,6,3
4/18/2020,59,23,37,11,6,2
4/19/2020,57,31,35,13,6,2
4/20/2020,51,32,37,13,6,2
4/21/2020,42,32,41,17,6,2
4/22/2020,47,36,43,21,7,2
4/23/2020,54,35,45,20,7,2
4/24/2020,49,21,32,13,7,2
4/25/2020,34,22,41,16,8,2
4/26/2020,37,29,32,19,7,3
4/27/2020,59,12,25,16,2,2
4/28/2020,43,17,27,16,3,2
4/29/2020,43,15,27,16,3,2
4/30/2020,36,16,26,19,4,2
3/1/2020,35,13,25,32,3,6
3/2/2020,34,26,10,40,5,9
3/3/2020,54,22,21,42,4,8
3/4/2020,52,20,24,26,5,3
3/5/2020,59,28,26,36,4,6
3/6/2020,63,29,29,37,3,6
3/7/2020,61,16,33,29,4,4
3/8/2020,42,17,28,37,3,5
3/9/2020,39,10,25,30,3,3
3/10/2020,35,14,34,39,3,4
3/11/2020,30,19,27,35,3,5
3/12/2020,43,18,27,33,2,6
3/13/2020,45,13,27,21,1,4
3/14/2020,29,10,23,11,1,3
3/15/2020,23,14,12,20,1,6
3/16/2020,38,15,18,14,1,4
3/17/2020,31,19,23,16,2,3
3/18/2020,41,22,24,22,3,2
3/19/2020,57,17,27,16,3,3
3/20/2020,35,19,27,15,3,5
3/21/2020,41,20,26,14,3,5
3/22/2020,53,26,21,29,4,7
3/23/2020,58,25,32,28,3,5
3/24/2020,60,36,28,30,4,7
3/25/2020,80,47,34,21,5,6
3/26/2020,99,40,40,16,9,4
3/27/2020,90,30,37,9,4,4
3/28/2020,56,21,34,6,3,6
3/29/2020,29,17,32,12,3,4
3/30/2020,26,18,33,15,5,5
3/31/2020,38,22,31,24,6,5
2/1/2020,49,22,28,29,5,7
2/2/2020,52,24,29,31,5,7
2/3/2020,50,23,26,30,3,7
2/4/2020,45,39,10,40,4,9
2/5/2020,72,42,8,42,4,7
2/6/2020,83,41,16,35,4,6
2/7/2020,93,26,28,30,5,4
2/8/2020,55,16,33,16,6,2
2/9/2020,44,18,30,34,7,5
2/10/2020,42,21,31,31,7,6
2/11/2020,41,19,28,37,6,6
2/12/2020,41,17,32,37,8,4
2/13/2020,47,28,28,39,6,5
2/14/2020,55,12,26,25,10,2
2/15/2020,38,10,34,27,9,3
2/16/2020,36,21,31,33,7,5
2/17/2020,45,18,29,34,6,5
2/18/2020,40,20,28,41,6,5
2/19/2020,45,13,33,32,7,4
2/20/2020,34,23,32,33,6,5
2/21/2020,44,22,32,26,6,3
2/22/2020,52,13,30,23,3,3
2/23/2020,36,12,27,30,3,4
2/24/2020,34,17,28,38,4,6
2/25/2020,35,17,28,34,4,7
2/26/2020,36,16,28,33,3,6
2/27/2020,41,18,22,35,3,5
2/28/2020,44,23,27,28,3,5
2/29/2020,46,15,29,29,3,7
1/1/2020,116,16,25,28,2,4
1/2/2020,56,15,27,27,2,4
1/3/2020,45,16,14,31,2,5
1/4/2020,46,11,22,28,1,4
1/5/2020,36,9,27,9,2,4
1/6/2020,29,14,19,23,2,4
1/7/2020,41,21,21,28,2,5
1/8/2020,52,37,22,26,4,4
1/9/2020,36,12,21,28,3,5
1/10/2020,44,17,29,25,2,4
1/11/2020,31,12,29,24,3,4
1/12/2020,26,13,27,29,4,4
1/13/2020,25,9,27,16,4,3
1/14/2020,25,10,23,32,4,4
1/15/2020,37,16,19,12,3,4
1/16/2020,43,13,24,23,2,5
1/17/2020,35,20,13,30,2,6
1/18/2020,48,26,12,27,3,7
1/19/2020,49,44,1,39,5,11
1/20/2020,69,41,,37,5,11
1/21/2020,78,30,7,32,2,5
1/22/2020,83,27,14,27,1,3
1/23/2020,68,27,10,36,3,4
1/24/2020,41,35,16,16,3,3
1/25/2020,80,27,21,15,4,4
1/26/2020,63,13,27,24,5,6
1/27/2020,44,16,31,37,6,10
1/28/2020,29,23,25,37,5,9
1/29/2020,40,15,26,31,5,7
1/30/2020,29,13,24,29,5,6
1/31/2020,24,22,30,29,5,7
10/1/2019,47,13,20,24,1,2
10/2/2019,43,24,21,43,4,5
10/3/2019,56,26,20,36,3,3
10/4/2019,59,19,14,27,1,2
10/5/2019,48,14,25,18,1,
10/6/2019,45,18,20,39,3,2
10/7/2019,47,26,21,40,4,3
10/8/2019,52,19,23,40,3,4
10/9/2019,44,22,20,41,4,4
10/10/2019,45,16,25,28,1,2
10/11/2019,44,15,23,48,2,3
10/12/2019,46,16,28,34,2,2
10/13/2019,31,21,15,36,1,2
10/14/2019,41,19,19,51,4,4
