Date,Daily,pm25,pm10,o3,no2,so2,co
05-01-2020,192,38,13,30,19,3,2
05-02-2020,129,37,16,31,15,2,3
05-03-2020,68,49,20,34,13,1,2
05-04-2020,163,53,18,31,12,1,2
05-05-2020,136,28,24,37,16,1,2
05-06-2020,123,53,29,43,27,1,2
05-07-2020,127,58,22,47,20,1,3
05-08-2020,94,67,38,49,20,3,3
05-09-2020,60,97,29,37,8,3,2
05-10-2020,35,66,20,26,8,2,3
05-11-2020,59,41,17,29,16,2,3
05-12-2020,47,45,15,29,11,2,3
5/13/2020,40,42,13,30,13,2,3
5/14/2020,0,38,14,15,22,1,3
04-01-2020,961,58,15,32,32,8,5
04-02-2020,1023,38,20,32,25,9,5
04-03-2020,935,46,21,36,19,9,4
04-04-2020,716,56,18,40,13,11,4
04-05-2020,603,53,18,33,25,7,3
04-06-2020,837,36,30,35,25,4,4
04-07-2020,905,49,52,38,28,4,3
04-08-2020,832,69,54,38,27,5,3
04-09-2020,766,57,46,38,23,4,3
04-10-2020,572,76,38,39,26,5,3
04-11-2020,491,74,29,43,19,7,3
04-12-2020,412,61,19,31,7,4,4
4/13/2020,565,46,18,32,17,4,3
4/14/2020,553,44,31,31,24,5,2
4/15/2020,551,70,51,31,25,6,2
4/16/2020,484,115,23,28,12,5,3
4/17/2020,424,50,27,24,13,6,3
4/18/2020,301,59,23,37,11,6,2
4/19/2020,243,57,31,35,13,6,2
4/20/2020,373,51,32,37,13,6,2
4/21/2020,333,42,32,41,17,6,2
4/22/2020,272,47,36,43,21,7,2
4/23/2020,314,54,35,45,20,7,2
4/24/2020,247,49,21,32,13,7,2
4/25/2020,161,34,22,41,16,8,2
4/26/2020,90,37,29,32,19,7,3
4/27/2020,186,59,12,25,16,2,2
4/28/2020,179,43,17,27,16,3,2
4/29/2020,243,43,15,27,16,3,2
4/30/2020,249,36,16,26,19,4,2
03-01-2020,8,35,13,25,32,3,6
03-02-2020,12,34,26,10,40,5,9
03-03-2020,6,54,22,21,42,4,8
03-04-2020,18,52,20,24,26,5,3
03-05-2020,14,59,28,26,36,4,6
03-06-2020,23,63,29,29,37,3,6
03-07-2020,14,61,16,33,29,4,4
03-08-2020,22,42,17,28,37,3,5
03-09-2020,54,39,10,25,30,3,3
03-10-2020,91,35,14,34,39,3,4
03-11-2020,183,30,19,27,35,3,5
03-12-2020,166,43,18,27,33,2,6
3/13/2020,136,45,13,27,21,1,4
3/14/2020,148,29,10,23,11,1,3
3/15/2020,165,23,14,12,20,1,6
3/16/2020,234,38,15,18,14,1,4
3/17/2020,310,31,19,23,16,2,3
3/18/2020,356,41,22,24,22,3,2
3/19/2020,333,57,17,27,16,3,3
3/20/2020,425,35,19,27,15,3,5
3/21/2020,350,41,20,26,14,3,5
3/22/2020,433,53,26,21,29,4,7
3/23/2020,687,58,25,32,28,3,5
3/24/2020,635,60,36,28,30,4,7
3/25/2020,753,80,47,34,21,5,6
3/26/2020,762,99,40,40,16,9,4
3/27/2020,819,90,30,37,9,4,4
3/28/2020,576,56,21,34,6,3,6
3/29/2020,593,29,17,32,12,3,4
3/30/2020,844,26,18,33,15,5,5
3/31/2020,913,38,22,31,24,6,5
02-11-2020,1,41,19,28,37,6,6
2/13/2020,1,47,28,28,39,6,5
2/16/2020,1,36,21,31,33,7,5
2/17/2020,1,45,18,29,34,6,5
2/19/2020,1,45,13,33,32,7,4
2/23/2020,2,36,12,27,30,3,4
2/25/2020,2,35,17,28,34,4,7
2/27/2020,1,41,18,22,35,3,5
2/28/2020,5,44,23,27,28,3,5
2/29/2020,1,46,15,29,29,3,7
