date,pm25,pm10,o3,no2,so2
12/31/2013,,13,19,18,2
1/1/2014,34,11,21,23,2
1/2/2014,36,14,23,25,2
1/3/2014,40,10,30,15,2
1/4/2014,26,15,27,17,1
1/5/2014,36,19,24,23,2
1/6/2014,43,22,17,28,3
1/7/2014,81,25,6,32,7
1/8/2014,68,37,6,48,9
1/9/2014,83,32,7,41,10
1/10/2014,69,35,8,36,5
1/11/2014,76,39,4,30,4
1/12/2014,91,16,28,29,3
1/13/2014,41,14,24,22,2
1/14/2014,35,19,18,29,3
1/15/2014,44,12,24,23,2
1/16/2014,35,15,20,24,2
1/17/2014,34,10,26,22,2
1/18/2014,32,11,23,21,2
1/19/2014,38,16,29,31,3
1/20/2014,40,20,20,34,3
1/21/2014,50,8,12,26,3
1/22/2014,30,10,16,21,4
1/23/2014,25,,,,
1/26/2014,,13,30,21,3
1/27/2014,25,13,23,26,2
1/28/2014,32,17,29,26,3
1/29/2014,39,16,28,25,3
1/30/2014,39,17,27,28,3
1/31/2014,45,11,31,17,2
2/1/2014,28,15,26,22,4
2/2/2014,38,24,22,33,3
2/3/2014,49,12,22,21,2
2/4/2014,32,10,25,14,2
2/5/2014,30,17,23,19,2
2/6/2014,29,14,24,18,2
2/7/2014,35,,,,
2/8/2014,,15,25,21,2
2/9/2014,35,15,32,15,3
2/10/2014,38,16,28,26,2
2/11/2014,41,19,22,30,2
2/12/2014,48,19,22,25,3
2/13/2014,47,14,21,18,2
2/14/2014,33,11,29,21,2
2/15/2014,32,16,23,26,3
2/16/2014,42,24,15,36,5
2/17/2014,52,23,21,33,6
2/18/2014,54,30,17,46,5
2/19/2014,64,30,20,36,4
2/20/2014,60,13,32,23,3
2/21/2014,30,20,29,25,2
2/22/2014,44,17,29,24,3
2/23/2014,43,19,25,26,2
2/24/2014,45,19,24,19,2
2/25/2014,41,18,30,19,3
2/26/2014,39,24,21,26,3
2/27/2014,49,17,31,18,2
2/28/2014,36,17,30,15,2
3/1/2014,52,11,21,12,2
3/2/2014,28,14,30,15,2
3/3/2014,29,15,29,15,2
3/4/2014,36,17,24,23,5
