Date,Cumulative,Daily,pm25,pm10,o3,no2,so2
2/20/2020,0,0,67,30,23,41,4
2/21/2020,0,0,59,34,23,43,4
2/22/2020,0,0,68,30,30,34,3
2/23/2020,0,0,56,33,27,39,3
2/24/2020,0,0,62,31,27,36,3
2/25/2020,1,1,62,15,30,19,1
2/26/2020,5,4,30,65,27,22,2
2/27/2020,9,4,72,65,24,32,3
2/28/2020,19,10,88,47,26,18,2
2/29/2020,26,7,64,28,27,10,2
3/1/2020,51,25,29,26,30,13,2
3/2/2020,93,42,25,17,21,21,1
3/3/2020,139,46,47,14,24,17,2
3/4/2020,197,58,38,15,33,17,2
3/5/2020,309,112,38,9,32,17,2
3/6/2020,512,203,23,13,31,21,2
3/7/2020,733,221,32,16,25,22,3
3/8/2020,996,263,48,14,30,24,3
3/9/2020,1500,504,37,13,26,17,3
3/10/2020,2204,704,36,32,20,28,3
3/11/2020,2930,726,59,36,21,34,3
3/12/2020,3714,784,64,29,31,26,2
3/13/2020,4654,940,64,21,38,13,2
3/14/2020,5554,900,60,20,32,11,2
3/15/2020,6367,813,56,10,25,12,2
3/16/2020,7626,1259,39,12,30,13,2
3/17/2020,9574,1948,46,26,22,17,3
3/18/2020,11324,1750,59,27,33,14,
3/19/2020,13367,2043,57,35,28,9,1
3/20/2020,15689,2322,56,16,27,9,1
3/21/2020,17363,1674,43,9,29,6,2
3/22/2020,18866,1503,29,9,27,13,1
3/23/2020,21535,2669,33,13,27,9,1
3/24/2020,24437,2902,36,17,31,10,1
3/25/2020,27379,2942,48,14,35,15,2
3/26/2020,30745,3366,43,13,34,10,1
3/27/2020,33103,2358,46,10,37,10,2
3/28/2020,34125,1022,39,13,38,14,3
3/29/2020,34997,872,47,12,28,8,2
3/30/2020,37540,2543,41,8,25,13,1
3/31/2020,39340,1800,32,10,30,13,2
4/1/2020,41122,1782,37,10,29,14,2
4/2/2020,42953,1831,35,11,36,12,2
4/3/2020,44685,1732,39,11,34,10,2
4/4/2020,45573,888,42,14,34,5,2
4/5/2020,46097,524,45,17,26,8,1
4/6/2020,47657,1560,56,26,24,13,1
4/7/2020,49046,1389,81,19,30,12,
4/8/2020,50459,1413,61,18,29,9,1
4/9/2020,51406,947,55,16,22,6,1
4/10/2020,52266,860,58,15,29,5,3
4/11/2020,52804,538,53,18,38,4,3
4/12/2020,53143,339,58,18,35,8,2
4/13/2020,54133,990,62,15,27,11,2
4/14/2020,55224,1091,54,12,30,9,2
4/15/2020,56127,903,45,16,27,9,1
4/16/2020,56964,837,52,14,30,10,1
4/17/2020,57778,814,46,14,38,10,2
4/18/2020,58263,485,47,14,38,5,2
4/19/2020,58468,205,52,14,29,9,2
4/20/2020,59085,617,47,10,31,6,2
4/21/2020,59711,626,30,12,34,11,2
4/22/2020,60390,679,37,17,31,8,2
4/23/2020,60819,429,53,16,34,8,1
4/24/2020,61328,509,53,16,39,4,1
4/25/2020,61560,232,55,19,33,4,1
4/26/2020,61689,129,56,14,34,6,2
4/27/2020,62276,587,43,12,31,7,3
4/28/2020,62760,484,39,12,30,10,2
4/29/2020,63105,345,37,15,31,6,2
4/30/2020,63389,284,47,20,27,3,3
5/1/2020,63510,121,63,21,25,5,2
5/2/2020,63627,117,68,20,33,7,1
5/3/2020,63739,112,65,27,32,4,1
5/4/2020,64064,325,68,9,37,7,2
5/5/2020,64375,311,29,14,47,13,3
5/6/2020,64645,270,42,23,35,11,2
5/7/2020,64876,231,55,17,42,8,1
5/8/2020,65090,214,41,27,38,5,2
5/9/2020,65169,79,71,11,31,2,2
5/10/2020,65220,51,35,15,30,7,1
5/11/2020,65399,179,46,18,32,9,1
5/12/2020,65605,206,56,22,35,9,1
5/13/2020,65693,88,71,12,27,9,1
