date, pm25, pm10, o3, no2, so2, co
31/12/13, ,13,19,18,2, 
01/01/14,34,11,21,23,2, 
02/01/14,36,14,23,25,2, 
03/01/14,40,10,30,15,2, 
04/01/14,26,15,27,17,1, 
05/01/14,36,19,24,23,2, 
06/01/14,43,22,17,28,3, 
07/01/14,81,25,6,32,7, 
08/01/14,68,37,6,48,9, 
09/01/14,83,32,7,41,10, 
10/01/14,69,35,8,36,5, 
11/01/14,76,39,4,30,4, 
12/01/14,91,16,28,29,3, 
13/01/14,41,14,24,22,2, 
14/01/14,35,19,18,29,3, 
15/01/14,44,12,24,23,2, 
16/01/14,35,15,20,24,2, 
17/01/14,34,10,26,22,2, 
18/01/14,32,11,23,21,2, 
19/01/14,38,16,29,31,3, 
20/01/14,40,20,20,34,3, 
21/01/14,50,8,12,26,3, 
22/01/14,30,10,16,21,4, 
23/01/14,25, , , , , 
26/01/14, ,13,30,21,3, 
27/01/14,25,13,23,26,2, 
28/01/14,32,17,29,26,3, 
29/01/14,39,16,28,25,3, 
30/01/14,39,17,27,28,3, 
31/01/14,45,11,31,17,2, 
01/02/14,28,15,26,22,4, 
02/02/14,38,24,22,33,3, 
03/02/14,49,12,22,21,2, 
04/02/14,32,10,25,14,2, 
05/02/14,30,17,23,19,2, 
06/02/14,29,14,24,18,2, 
07/02/14,35, , , , , 
08/02/14, ,15,25,21,2, 
09/02/14,35,15,32,15,3, 
10/02/14,38,16,28,26,2, 
11/02/14,41,19,22,30,2, 
12/02/14,48,19,22,25,3, 
13/02/14,47,14,21,18,2, 
14/02/14,33,11,29,21,2, 
15/02/14,32,16,23,26,3, 
16/02/14,42,24,15,36,5, 
17/02/14,52,23,21,33,6, 
18/02/14,54,30,17,46,5, 
19/02/14,64,30,20,36,4, 
20/02/14,60,13,32,23,3, 
21/02/14,30,20,29,25,2, 
22/02/14,44,17,29,24,3, 
23/02/14,43,19,25,26,2, 
24/02/14,45,19,24,19,2, 
25/02/14,41,18,30,19,3, 
26/02/14,39,24,21,26,3, 
27/02/14,49,17,31,18,2, 
28/02/14,36,17,30,15,2, 
01/03/14,52,11,21,12,2, 
02/03/14,28,14,30,15,2, 
03/03/14,29,15,29,15,2, 
04/03/14,36,17,24,23,5, 
05/03/14,43,24,18,30,5, 
06/03/14,51,26,27,31,4, 
07/03/14,57,27,36,32,5, 
08/03/14,55,22,40,19,4, 
09/03/14,47,27,33,34,5, 
10/03/14,57,28,38,30,5, 
11/03/14,59,32,37,25,4, 
12/03/14,66,31,32,26,3, 
13/03/14,66,31,30,35,5, 
14/03/14,66,33,41,30,5, 
15/03/14,68,31,35,29,5, 
16/03/14,56,33,34,35,4, 
17/03/14,60,39,33,44,5, 
18/03/14,75,27,37,22,3, 
19/03/14,60,36,36,36,4, 
20/03/14,72,40,32,24,3, 
21/03/14,70,17,33,13,2, 
22/03/14,34,13,35,15,2, 
23/03/14,27,26,31,32,3, 
24/03/14,53,24,36,16,3, 
25/03/14,40,14,34,19,3, 
26/03/14,31,19,32,30,3, 
27/03/14,41,23,35,24,4, 
28/03/14,49,26,33,23,4, 
29/03/14,55,14,33,16,2, 
30/03/14,39,45,26,26,3, 
31/03/14,51,37,31,23,3, 
01/04/14,43,21,27,24,2, 
02/04/14,46,15,34,23,2, 
03/04/14,38,19,34,20,2, 
04/04/14,44,18,27,18,2, 
05/04/14,41,24,29,22,3, 
06/04/14,53,25,30,29,3, 
07/04/14,56,23,33,28,3, 
08/04/14,49,31,34,34,3, 
09/04/14,61,35,36,29,3, 
10/04/14,60,42,33,30,3, 
11/04/14,69,31,34,15,2, 
12/04/14,64,22,43,19,2, 
13/04/14,53,26,40,26,3, 
14/04/14,54,27,40,22,3, 
15/04/14,56,27,41,29,3, 
16/04/14,54,24,45,19,2, 
17/04/14,48,21,44,13,2, 
18/04/14,40,31,32,23,2, 
19/04/14,64,20,35,9,2, 
20/04/14,37,17,28,21,3, 
21/04/14,40,21,32,19,2, 
22/04/14,44,19,30,19,3, 
23/04/14,46,27,32,21,2, 
24/04/14,47,18,38,21,3, 
25/04/14,37,19,28,15,1, 
26/04/14,45,18,38,14,2, 
27/04/14,44,19,32,19,2, 
28/04/14,49,25,36,22,3, 
29/04/14,56,22,35,21,2, 
30/04/14,64,18,40,16,2, 
01/05/14,53,22,37,17,2, 
02/05/14,49,14,39,10,1, 
03/05/14,46,17,44,14,2, 
04/05/14,54,32,41,35,3, 
05/05/14,66,36,41,33,3, 
06/05/14,73,36,35,37,3, 
07/05/14,70,39,47,35,3, 
08/05/14,84,25,44,21,2, 
09/05/14,71,29,42,23,2, 
10/05/14,59,30,36,18,2, 
11/05/14,51,25,41,23,2, 
12/05/14,62,24,36,14,1, 
13/05/14,58,24,43,16,2, 
14/05/14,50,25,48,14,2, 
15/05/14,61,20,46,17,2, 
16/05/14,49,27,55,12,2, 
17/05/14,56,28,52,16,2, 
18/05/14,61,42,47,22,2, 
19/05/14,80,22,38,17,2, 
20/05/14,75,26,37,17,2, 
21/05/14,85,22,33,17,3, 
22/05/14,54,18,44,19,3, 
23/05/14,54,16,52,16,2, 
24/05/14,61,21,47,15,1, 
25/05/14,59,19,45,18,2, 
26/05/14,48,20,46,19,2, 
27/05/14,57,25,35,20,2, 
28/05/14,57,19,37,20,3, 
29/05/14,49,15,36,19,2, 
30/05/14,37,17,41,11,1, 
31/05/14,38,14,40,11,2, 
01/06/14,31,23,53,18,2, 
02/06/14,46,31,48,25,2, 
03/06/14,51,32,41,20,2, 
04/06/14,52,28,56,23,3, 
05/06/14,45,48,44,29,3, 
06/06/14,74,29,31,13,2, 
07/06/14,46,26,39,18,2, 
08/06/14,47,31,41,23,2, 
09/06/14,52,29,40,22,3, 
10/06/14,49,41,44,22,3, 
11/06/14,71,30,57,27,2, 
12/06/14,59,36,56,28,2, 
13/06/14,71,23,54,16,2, 
14/06/14,49,23,46,11,2, 
15/06/14,43,18,47,15,2, 
16/06/14,41,23,67,17,3, 
17/06/14,49,31,66,25,3, 
18/06/14,62,44,55,14,2, 
19/06/14,76,40,53,18,2, 
20/06/14,68,25,39,14,2, 
21/06/14,50,23,42,19,2, 
22/06/14,47,27,44,22,3, 
23/06/14,51,32,37,20,2, 
24/06/14,58,21,54,23,2, 
25/06/14,48,34,46,26,2, 
26/06/14,67,27,46,29,3, 
27/06/14,57,25,31,21,3, 
28/06/14,47,16,46,13,2, 
29/06/14,34,25,48,21,3, 
30/06/14,45,30,38,24,3, 
01/07/14,53,26,42,18,3, 
02/07/14,48,37,35,23,3, 
03/07/14,65,26,48,26,3, 
04/07/14,47,25,59,26,3, 
05/07/14,56,23,30,18,3, 
06/07/14,48,20,41,22,3, 
07/07/14,39,21,47,24,3, 
08/07/14,49,19,38,17,2, 
09/07/14,42,26,49,16,3, 
10/07/14,33,21,53,18,3, 
11/07/14,45,19,48,13,2, 
12/07/14,44,20,48,14,2, 
13/07/14,46,27,55,26,3, 
14/07/14,56,36,64,26,2, 
15/07/14,64,45,68,37,3, 
16/07/14,76,56,53,45,3, 
17/07/14,90,61,53,37,3, 
18/07/14,95,29,35,14,2, 
19/07/14,56,15,34,12,2, 
20/07/14,39,21,57,18,2, 
21/07/14,46,29,67,23,3, 
22/07/14,51,38,63,30,3, 
23/07/14,61,35,64,29,2, 
24/07/14,62,34,60,32,2, 
25/07/14,63,39,73,22,3, 
26/07/14,74,36,73,19,3, 
27/07/14,73,39,60,26,3, 
28/07/14,69,21,43,12,2, 
29/07/14,36,21,57,17,2, 
30/07/14,40,46,53,27,4, 
31/07/14,70,45,47,20,3, 
01/08/14,76,23,40,13,3, 
02/08/14,51,20,37,11,3, 
03/08/14,38,33,46,21,3, 
04/08/14,51,45,61,19,3, 
05/08/14,70,44,55,23,3, 
06/08/14,69,36,50,23,2, 
07/08/14,55,38,40,24,3, 
08/08/14,51,30,36,21,3, 
09/08/14,52,27,46,15,3, 
10/08/14,51,30,48,19,2, 
11/08/14,53,51,45,23,2, 
12/08/14,56,21,51,13,3, 
13/08/14,37,25,51,12,3, 
14/08/14,46,29,60,11,3, 
15/08/14,52,29,52,10,3, 
16/08/14,58,28,28,24,3, 
17/08/14,56,42,47,21,3, 
18/08/14,63,27,51,23,3, 
19/08/14,52,39,55,21,3, 
20/08/14,71,39,40,19,3, 
21/08/14,62,37,43,19,3, 
22/08/14,52,21,48,13,2, 
23/08/14,42,33,49,20,2, 
24/08/14,56,37,50,34,3, 
25/08/14,59,39,34,26,3, 
26/08/14,64,37,35,18,2, 
27/08/14,58,41,38,30,4, 
28/08/14,64,40,43,24,3, 
29/08/14,60,36,45,18,3, 
30/08/14,64,33,55,17,2, 
31/08/14,66,36,53,25,3, 
01/09/14,59,45,46,30,3, 
02/09/14,68,46,44,28,3, 
03/09/14,72,31,34,22,3, 
04/09/14,51,41,41,31,3, 
05/09/14,60,33,33,24,3, 
06/09/14,53,32,34,23,3, 
07/09/14,52,27,45,24,2, 
08/09/14,47,31,47,26,2, 
09/09/14,49,41,52,34,1, 
10/09/14,65,31,38,23,1, 
11/09/14,47,27,38,26,1, 
12/09/14,44,26,41,24,2, 
13/09/14,46,29,36,24,1, 
14/09/14,46,29,37,24,2, 
15/09/14,44,33,37,28,2, 
16/09/14,50,30,33,21,1, 
17/09/14,55,25,32,23,1, 
18/09/14,49,21,31,24,1, 
19/09/14,46,22,35,25,1, 
20/09/14,43,21,42,20,2, 
21/09/14,45,26,34,24,1, 
22/09/14,49,21,37,23,1, 
23/09/14,45,22,30,28,1, 
24/09/14,51,31,37,25,2, 
25/09/14,78,35,40,27,2, 
26/09/14,77,32,35,26,1, 
27/09/14,71,26,29,19,1, 
28/09/14,67,31,35,35,1, 
29/09/14,69,26,37,36,2, 
30/09/14,58,34,30,30,2, 
01/10/14,68,28,33,25,1, 
02/10/14,56,34,37,32,1, 
03/10/14,62,30,42,32,1, 
04/10/14,60,29,43,25,1, 
05/10/14,60,33,36,31,2, 
06/10/14,59,22,29,21,1, 
07/10/14,42,26,24,24,1, 
08/10/14,48,21,15,21,1, 
09/10/14,48,13,17,27,1, 
10/10/14,37, , , , , 
11/10/14, ,11,33,11,1, 
12/10/14,31,17,29,19,1, 
13/10/14,40,15,31,28,1, 
14/10/14,41,38,23,28,2, 
15/10/14,53,32,21,26,2, 
16/10/14,50,30,25,32,2, 
17/10/14,58,34,28,35,2, 
18/10/14,65,38,31,27,2, 
19/10/14,64,51,20,40,3, 
20/10/14,79,64,28,59,5, 
21/10/14,106,40,29,34,2, 
22/10/14,64,45,22,44,3, 
23/10/14,79,48,19,40,3, 
24/10/14,79,36,26,30,2, 
25/10/14,61,35,24,30,2, 
26/10/14,69,46,20,40,3, 
27/10/14,69,51,22,46,4, 
28/10/14,95,51,21,48,3, 
29/10/14,87,50,18,51,5, 
30/10/14,101,41,24,37,3, 
31/10/14,77,40,27,37,4, 
01/11/14,74,33,27,31,3, 
02/11/14,70,17,28,26,2, 
03/11/14,37,14,32,22,3, 
04/11/14,33,17,30,27,4, 
05/11/14,47,23,27,28,4, 
06/11/14,52,20,26,25,3, 
07/11/14,44,20,32,24,3, 
08/11/14,42,14,33,21,3, 
09/11/14,33,20,27,27,4, 
10/11/14,53,17,21,30,3, 
11/11/14,48,18,27,24,2, 
12/11/14,42,22,14,32,3, 
13/11/14,49,18,29,26,2, 
14/11/14,38,16,29,18,2, 
15/11/14,35,15,27,18,2, 
16/11/14,36,19,31,28,3, 
17/11/14,44,28,14,42,4, 
18/11/14,62,28,16,38,6, 
19/11/14,66,27,20,34,6, 
20/11/14,58,33,14,35,5, 
21/11/14,66,39,14,28,6, 
22/11/14,65,75,12,25,4, 
23/11/14,95,57,14,31,5, 
24/11/14,84,55,15,37,5, 
25/11/14,101,23,27,28,3, 
26/11/14,48,18,15,29,4, 
27/11/14,42,14,24,29,3, 
28/11/14,39,14,21,30,4, 
29/11/14,41,23,20,31,4, 
30/11/14,64,21,26,30,5, 
01/12/14,45,17,25,30,5, 
02/12/14,45,12,12,26,5, 
03/12/14,34,22,18,25,4, 
04/12/14,39,27,16,35,5, 
05/12/14,60,19,28,29,3, 
06/12/14,46,14,32,24,3, 
07/12/14,34,22,22,40,3, 
08/12/14,54,27,26,45,4, 
09/12/14,93,41,15,53,6, 
10/12/14,75,41,6,62,9, 
11/12/14,92,40,8,49,6, 
12/12/14,74,30,15,28,3, 
13/12/14,61,18,21,25,4, 
14/12/14,45,14,20,29,6, 
15/12/14,40,34,7,49,7, 
16/12/14,73,42,4,55,7, 
17/12/14,81,46,4,63,9, 
18/12/14,99,51,3,67,9, 
19/12/14,113,33,8,42,8, 
20/12/14,79,18,17,31,6, 
21/12/14,51,21,15,34,7, 
22/12/14,48,33,13,48,7, 
23/12/14,70,32,9,36,6, 
24/12/14,74,19,22,25,6, 
25/12/14,52,31,9,41,7, 
26/12/14,66,32,15,30,5, 
27/12/14,74,22,31,17,5, 
28/12/14,37, , , , , 
31/12/14, ,47,10,65,11, 
01/01/15,107,36,5,62,10, 
02/01/15,77,34,6,57,10, 
03/01/15,77,36,9,58,12, 
04/01/15,75,33,8,55,9, 
05/01/15,74,33,8,47,8, 
06/01/15,84,38,8,57,9, 
07/01/15,78,33,8,51,8, 
08/01/15,65,39,7,65,11, 
09/01/15,67,31,11,53,9, 
10/01/15,57,28,10,39,9, 
11/01/15,61,24,18,41,8, 
12/01/15,37,29,15,40,6, 
13/01/15,59,36,8,42,6, 
14/01/15,77,22,18,34,4, 
15/01/15,56,14,31,30,4, 
16/01/15,41,23,30,29,4, 
17/01/15,41,16,15,24,3, 
18/01/15,45,13,31,26,6, 
19/01/15,29,25,21,43,5, 
20/01/15,55,18,26,35,4, 
21/01/15,49,18,31,31,5, 
22/01/15,37,24,25,41,7, 
23/01/15,57,24,23,39,7, 
24/01/15,61,13,30,30,7, 
25/01/15,39,28,15,49,8, 
26/01/15,64,23,22,40,7, 
27/01/15,61,32,17,48,7, 
28/01/15,73,25,25,37,5, 
29/01/15,56,13,26,20,3, 
30/01/15,30,9,34,19,3, 
31/01/15,21,8,33,16,3, 
01/02/15,23,12,29,26,3, 
02/02/15,35,10,31,27,3, 
03/02/15,25,10,33,24,5, 
04/02/15,29,12,33,21,6, 
05/02/15,33,12,31,27,6, 
06/02/15,31,16,16,29,6, 
07/02/15,49,17,26,23,7, 
08/02/15,54,17,29,24,5, 
09/02/15,52,20,27,28,5, 
10/02/15,56,24,20,32,6, 
11/02/15,55,32,20,32,6, 
12/02/15,63,34,31,33,4, 
13/02/15,77,18,29,19,3, 
14/02/15,46,11,26,18,4, 
15/02/15,35,15,26,22,4, 
16/02/15,39,12,31,18,5, 
17/02/15,28,12,27,21,6, 
18/02/15,37,24,26,31,5, 
19/02/15,59,37,28,40,5, 
20/02/15,85,14,34,17,4, 
21/02/15,44,14,32,26,4, 
22/02/15,39,16,26,21,4, 
23/02/15,40,12,32,19,3, 
24/02/15,30,15,31,24,4, 
25/02/15,33,19,24,28,5, 
26/02/15,46,15,31,28,6, 
27/02/15,38,18,25,29,5, 
28/02/15,44,15,25,19,4, 
01/03/15,37,23,17,21,4, 
02/03/15,56,35,13,26,4, 
03/03/15,80,24,32,27,6, 
04/03/15,57,13,31,27,6, 
05/03/15,33,24,26,37,5, 
06/03/15,46,40,23,46,8, 
07/03/15,71,32,30,38,7, 
08/03/15,62,30,28,48,7, 
09/03/15,54,37,28,48,5, 
10/03/15,62,44,31,52,6, 
11/03/15,80,45,30,50,6, 
12/03/15,92,35,29,30,6, 
13/03/15,70,13,36,17,5, 
14/03/15,26,19,34,19,5, 
15/03/15,52,27,30,30,5, 
16/03/15,64,33,32,28,5, 
17/03/15,74,16,36,26,4, 
18/03/15,52,14,28,17,4, 
19/03/15,37,21,30,19,4, 
20/03/15,55,13,28,18,4, 
21/03/15,44,11,28,17,5, 
22/03/15,33,12,19,28,5, 
23/03/15,42,10,30,21,5, 
24/03/15,34,8,34,16,5, 
25/03/15,20,15,29,25,4, 
26/03/15,36,14,22,22,5, 
27/03/15,36,25,28,27,5, 
28/03/15,61,16,34,18,4, 
29/03/15,38,24,37,30,4, 
30/03/15,54,31,35,37,5, 
