Date,Cumulative,Daily
20/2/2020,0,0
21/2/2020,0,0
22/2/2020,0,0
23/2/2020,0,0
24/2/2020,0,0
25/2/2020,1,1
26/2/2020,5,4
27/2/2020,9,4
28/2/2020,19,10
29/2/2020,26,7
1/3/2020,51,25
2/3/2020,93,42
3/3/2020,139,46
4/3/2020,197,58
5/3/2020,309,112
6/3/2020,512,203
7/3/2020,733,221
8/3/2020,996,263
9/3/2020,1500,504
10/3/2020,2204,704
11/3/2020,2930,726
12/3/2020,3714,784
13/3/2020,4654,940
14/3/2020,5554,900
15/3/2020,6367,813
16/3/2020,7626,1259
17/3/2020,9574,1948
18/3/2020,11324,1750
19/3/2020,13367,2043
20/3/2020,15689,2322
21/3/2020,17363,1674
22/3/2020,18866,1503
23/3/2020,21535,2669
24/3/2020,24437,2902
25/3/2020,27379,2942
26/3/2020,30745,3366
27/3/2020,33103,2358
28/3/2020,34125,1022
29/3/2020,34997,872
30/3/2020,37540,2543
31/3/2020,39340,1800
1/4/2020,41122,1782
2/4/2020,42953,1831
3/4/2020,44685,1732
4/4/2020,45573,888
5/4/2020,46097,524
6/4/2020,47657,1560
7/4/2020,49046,1389
8/4/2020,50459,1413
9/4/2020,51406,947
10/4/2020,52266,860
11/4/2020,52804,538
12/4/2020,53143,339
13/4/2020,54133,990
14/4/2020,55224,1091
15/4/2020,56127,903
16/4/2020,56964,837
17/4/2020,57778,814
18/4/2020,58263,485
19/4/2020,58468,205
20/4/2020,59085,617
21/4/2020,59711,626
22/4/2020,60390,679
23/4/2020,60819,429
24/4/2020,61328,509
25/4/2020,61560,232
26/4/2020,61689,129
27/4/2020,62276,587
28/4/2020,62760,484
29/4/2020,63105,345
30/4/2020,63389,284
1/5/2020,63510,121
2/5/2020,63627,117
3/5/2020,63739,112
4/5/2020,64064,325
5/5/2020,64375,311
6/5/2020,64645,270
7/5/2020,64876,231
8/5/2020,65090,214
9/5/2020,65169,79
10/5/2020,65220,51
11/5/2020,65399,179
12/5/2020,65605,206
13/5/2020,65693,88
