date,pm25,pm10,o3,no2,so2,co
1/18/2018,,515,,,,
1/19/2018,437,438,,,,
1/20/2018,350,,,,,
1/22/2018,,317,,,,
1/23/2018,314,212,4,13,4,9
1/24/2018,274,207,2,17,2,8
1/25/2018,260,182,4,9,1,6
1/26/2018,268,330,6,13,2,13
1/27/2018,313,250,5,12,1,11
1/28/2018,267,448,1,17,6,12
1/29/2018,398,325,6,15,8,8
1/30/2018,277,218,6,15,4,7
1/31/2018,241,391,10,18,17,13
2/1/2018,325,277,11,15,5,10
2/2/2018,251,242,18,15,7,9
2/3/2018,222,234,22,15,5,9
2/4/2018,240,304,20,18,8,10
2/5/2018,275,247,18,15,4,8
2/6/2018,232,207,22,17,4,9
2/7/2018,218,330,27,17,6,13
2/8/2018,278,387,32,18,9,12
2/9/2018,325,490,27,19,7,24
2/10/2018,316,361,19,23,9,10
2/11/2018,228,291,13,19,6,6
2/12/2018,180,181,24,16,6,10
2/13/2018,208,130,23,12,4,4
2/14/2018,162,140,24,15,5,6
2/15/2018,168,187,25,21,6,8
2/16/2018,189,202,24,22,11,9
2/17/2018,195,196,31,,10,10
2/18/2018,189,304,36,21,13,14
2/19/2018,244,289,32,28,11,16
2/20/2018,232,504,5,40,12,27
2/21/2018,385,251,29,21,8,12
2/22/2018,200,207,26,24,11,14
2/23/2018,219,369,16,34,15,15
2/24/2018,235,157,22,13,7,7
2/25/2018,176,133,20,14,5,8
2/26/2018,154,146,22,21,6,11
2/27/2018,179,246,25,23,9,11
2/28/2018,214,197,20,24,7,9
3/1/2018,191,221,27,21,6,15
3/2/2018,203,166,21,14,7,6
3/3/2018,182,136,19,16,7,7
3/4/2018,163,130,24,16,8,5
3/5/2018,160,126,22,18,8,5
3/6/2018,160,124,29,17,7,5
3/7/2018,162,335,25,27,12,19
3/8/2018,249,136,30,12,7,5
3/9/2018,164,132,20,13,6,4
3/10/2018,158,136,25,15,8,3
3/11/2018,195,221,26,20,11,5
3/12/2018,203,230,25,25,20,5
3/13/2018,236,275,24,20,13,7
3/14/2018,180,342,16,21,13,10
3/15/2018,230,224,29,17,9,9
3/16/2018,190,174,16,19,11,7
3/17/2018,185,,,,,
3/18/2018,,148,27,21,9,7
3/19/2018,163,208,33,27,17,11
3/20/2018,194,275,34,20,13,11
3/21/2018,228,139,24,16,8,7
3/22/2018,169,111,26,15,5,5
3/23/2018,161,128,33,17,7,6
3/24/2018,171,127,34,17,8,6
3/25/2018,180,128,34,20,7,7
3/26/2018,172,193,19,25,22,11
3/27/2018,206,307,30,30,19,18
3/28/2018,242,119,27,12,4,6
3/29/2018,158,171,26,21,8,9
3/30/2018,173,351,34,20,13,8
3/31/2018,220,243,41,20,13,8
4/1/2018,192,255,43,25,16,8
4/2/2018,208,281,43,35,16,10
4/3/2018,188,,,,,
4/4/2018,,143,41,8,8,4
4/5/2018,165,164,29,17,14,6
4/6/2018,171,150,30,19,11,6
4/7/2018,150,154,34,17,10,5
4/8/2018,155,158,20,16,8,7
4/9/2018,145,344,45,21,17,10
4/10/2018,190,127,20,9,7,4
4/11/2018,130,134,34,15,7,9
4/12/2018,132,146,35,15,9,8
4/13/2018,142,216,33,16,9,8
4/14/2018,164,227,45,19,14,9
4/15/2018,170,373,37,19,17,11
4/16/2018,183,249,18,17,9,8
4/17/2018,163,180,28,11,6,4
4/18/2018,146,219,35,14,12,6
4/19/2018,188,427,15,15,18,5
4/20/2018,218,420,26,9,7,3
4/21/2018,196,152,29,10,13,3
4/22/2018,147,191,44,12,6,5
4/23/2018,150,258,50,17,15,8
4/24/2018,170,463,36,20,23,15
4/25/2018,187,453,74,16,16,13
4/26/2018,187,447,50,13,11,7
4/27/2018,177,412,42,14,12,5
4/28/2018,178,270,69,17,11,6
4/29/2018,182,248,74,17,14,6
4/30/2018,182,188,45,9,5,4
5/1/2018,163,227,39,7,5,5
5/2/2018,181,178,20,9,11,4
5/3/2018,150,131,35,10,9,5
5/4/2018,143,180,77,14,10,7
5/5/2018,167,357,40,14,12,10
5/6/2018,197,268,72,14,12,9
5/7/2018,183,164,34,8,5,2
5/8/2018,149,134,53,11,8,5
5/9/2018,146,160,65,16,12,7
5/10/2018,164,416,63,22,23,13
5/11/2018,214,410,78,21,15,17
5/12/2018,216,218,25,16,10,7
5/13/2018,176,131,36,20,9,6
5/14/2018,140,161,41,28,10,8
5/15/2018,165,160,40,16,8,6
5/16/2018,166,220,51,18,10,6
5/17/2018,183,135,39,17,6,8
5/18/2018,162,247,51,57,28,15
5/19/2018,190,150,36,41,27,9
5/20/2018,167,153,28,36,21,7
5/21/2018,163,180,52,44,26,11
5/22/2018,174,235,56,47,30,15
5/23/2018,200,187,38,38,27,11
5/24/2018,186,169,46,44,30,10
5/25/2018,164,230,47,55,36,13
5/26/2018,184,268,31,57,40,10
5/27/2018,181,185,49,55,33,12
5/28/2018,175,246,40,49,28,13
5/29/2018,193,229,29,25,18,6
5/30/2018,173,167,33,28,21,8
5/31/2018,169,148,28,24,17,6
6/1/2018,164,,,,,
6/2/2018,,113,29,24,18,7
6/3/2018,152,139,21,22,15,5
6/4/2018,160,147,22,22,17,13
6/5/2018,168,119,14,22,14,6
6/6/2018,157,116,35,24,18,8
6/7/2018,162,186,14,23,13,8
6/8/2018,180,115,7,20,10,7
6/9/2018,148,96,23,20,9,6
6/10/2018,151,135,23,22,10,6
6/11/2018,168,432,9,22,24,6
6/12/2018,252,979,6,15,23,5
6/13/2018,407,797,13,21,28,9
6/14/2018,356,643,20,19,33,8
6/15/2018,260,652,13,17,17,10
6/16/2018,251,220,21,12,12,8
6/17/2018,168,128,23,18,15,9
6/18/2018,149,120,35,16,12,8
6/19/2018,150,141,54,27,18,9
6/20/2018,160,290,57,22,18,10
6/21/2018,183,210,86,30,18,12
6/22/2018,171,186,51,29,15,12
6/23/2018,168,141,42,18,17,9
6/24/2018,155,220,29,21,16,9
6/25/2018,171,139,13,24,20,10
6/26/2018,162,96,28,21,12,10
6/27/2018,142,81,14,20,9,10
6/28/2018,83,97,14,27,9,9
6/29/2018,151,99,13,26,10,10
6/30/2018,136,108,9,25,11,11
7/1/2018,119,222,10,22,11,7
7/2/2018,126,129,24,26,8,9
7/3/2018,136,111,33,22,8,8
7/4/2018,148,110,21,20,8,7
7/5/2018,140,132,20,18,8,8
7/6/2018,149,119,34,17,9,8
7/7/2018,157,119,42,19,9,7
7/8/2018,151,170,18,28,8,9
7/9/2018,155,115,25,23,8,8
7/10/2018,128,115,16,20,9,9
7/11/2018,128,132,30,18,9,9
7/12/2018,126,83,7,18,8,8
7/13/2018,100,95,9,16,8,10
7/14/2018,93,107,14,15,8,9
7/15/2018,102,92,7,19,9,11
7/16/2018,87,102,36,18,9,10
7/17/2018,102,105,15,12,8,8
7/18/2018,107,92,12,14,8,9
7/19/2018,107,83,7,14,8,9
7/20/2018,110,106,28,15,9,12
7/21/2018,157,71,7,14,9,10
7/22/2018,106,93,8,9,9,9
7/23/2018,103,115,15,11,10,11
7/24/2018,141,108,5,16,13,10
7/25/2018,138,46,4,16,9,8
7/26/2018,89,31,4,13,8,8
7/27/2018,76,50,9,16,9,9
7/28/2018,91,87,8,24,9,9
7/29/2018,151,85,4,25,8,6
7/30/2018,140,119,8,30,8,9
7/31/2018,159,120,9,28,11,8
8/1/2018,149,152,7,26,11,7
8/2/2018,163,152,6,31,13,8
8/3/2018,161,146,9,27,11,8
8/4/2018,163,139,3,26,11,7
8/5/2018,166,82,4,20,9,9
8/6/2018,123,81,9,20,9,9
8/7/2018,140,67,13,21,8,10
8/8/2018,131,99,13,23,9,9
8/9/2018,142,92,14,31,9,11
8/10/2018,123,82,6,22,10,8
8/11/2018,108,93,7,22,11,8
8/12/2018,125,75,9,18,9,8
8/13/2018,113,90,13,21,8,10
8/14/2018,117,84,19,22,8,8
8/15/2018,112,73,19,22,8,11
8/16/2018,103,65,16,22,8,9
8/17/2018,89,82,58,28,8,11
8/18/2018,100,72,33,18,5,11
8/19/2018,107,50,12,27,10,12
8/20/2018,115,29,11,28,10,11
8/21/2018,150,53,8,30,9,10
8/22/2018,172,75,3,20,11,9
8/23/2018,102,101,5,21,10,9
8/24/2018,113,100,4,21,12,8
8/25/2018,112,73,8,13,10,7
8/26/2018,90,55,5,16,10,8
8/27/2018,78,67,6,19,9,12
8/28/2018,98,120,31,14,11,14
8/29/2018,151,92,16,3,10,12
8/30/2018,129,121,5,3,12,9
8/31/2018,136,95,6,2,11,13
9/1/2018,125,69,21,,9,9
9/2/2018,118,63,8,,10,13
9/3/2018,123,102,20,,11,19
9/4/2018,164,92,4,,11,12
9/5/2018,129,118,7,29,10,11
9/6/2018,124,78,9,29,9,11
9/7/2018,117,89,5,22,8,9
9/8/2018,117,63,2,26,10,10
9/9/2018,137,96,18,29,12,13
9/10/2018,146,100,4,22,12,10
9/11/2018,115,104,5,14,10,8
9/12/2018,118,105,7,13,13,7
9/13/2018,111,107,12,13,12,7
9/14/2018,113,163,12,14,12,9
9/15/2018,179,116,15,12,10,7
9/16/2018,134,127,24,11,10,8
9/17/2018,147,146,28,11,9,9
9/18/2018,160,140,33,13,11,9
9/19/2018,154,144,42,15,10,11
9/20/2018,166,155,13,18,12,11
9/21/2018,182,72,7,18,12,9
9/22/2018,109,,9,18,11,8
9/23/2018,129,,6,13,12,8
9/24/2018,86,,7,16,11,8
9/25/2018,79,,17,20,11,10
9/26/2018,122,,25,21,12,14
9/27/2018,158,,24,25,12,21
9/28/2018,170,,34,22,12,13
9/29/2018,172,,25,18,12,9
9/30/2018,142,198,30,22,13,11
10/1/2018,155,158,24,20,12,11
10/2/2018,168,166,35,24,12,13
10/3/2018,145,172,53,24,15,13
10/4/2018,174,220,31,17,15,14
10/5/2018,210,133,23,19,12,10
10/6/2018,131,155,36,20,14,11
10/7/2018,167,223,45,24,14,14
10/8/2018,205,281,50,24,14,16
10/9/2018,192,227,24,20,14,15
10/10/2018,179,203,14,17,13,10
10/11/2018,163,144,34,15,16,10
10/12/2018,163,255,33,19,17,13
10/13/2018,244,182,27,23,17,11
10/14/2018,190,283,35,23,20,16
10/15/2018,221,368,36,30,19,22
10/16/2018,249,338,29,23,15,24
10/17/2018,227,342,30,23,18,25
10/18/2018,241,279,34,20,19,17
10/19/2018,222,279,39,18,20,15
10/20/2018,263,220,33,19,21,14
10/21/2018,231,218,26,16,24,15
10/22/2018,209,288,32,5,30,18
10/23/2018,223,374,35,3,21,26
10/24/2018,289,304,43,1,21,23
10/25/2018,264,358,32,2,15,21
10/26/2018,300,346,31,2,12,25
10/27/2018,284,472,4,3,14,52
10/28/2018,381,401,29,4,11,29
10/29/2018,313,457,28,5,11,27
10/30/2018,361,418,25,11,11,29
10/31/2018,334,502,23,16,13,34
11/1/2018,388,418,24,17,12,21
11/2/2018,331,324,14,18,10,20
11/3/2018,259,150,26,17,11,10
11/4/2018,196,500,15,16,12,18
11/5/2018,464,266,23,15,11,13
11/6/2018,277,320,35,11,16,14
11/7/2018,320,545,22,9,22,25
11/8/2018,545,512,33,9,14,26
11/9/2018,423,555,17,10,14,31
11/10/2018,428,520,35,9,14,27
11/11/2018,404,531,33,9,13,27
11/12/2018,404,517,10,7,14,32
11/13/2018,393,244,14,9,11,22
11/14/2018,257,145,11,16,11,16
11/15/2018,195,193,16,13,12,12
11/16/2018,243,221,19,11,13,13
11/17/2018,247,370,23,8,13,20
11/18/2018,306,332,25,7,12,17
11/19/2018,290,375,24,7,11,20
11/20/2018,332,321,20,21,12,17
11/21/2018,313,350,21,20,15,19
11/22/2018,271,321,18,18,13,22
11/23/2018,295,187,15,21,14,14
11/24/2018,200,224,20,20,14,14
11/25/2018,235,408,21,20,15,21
11/26/2018,330,487,8,15,13,38
11/27/2018,331,357,13,12,12,24
11/28/2018,299,394,9,7,12,24
11/29/2018,342,300,14,4,12,17
11/30/2018,299,274,17,2,13,16
12/1/2018,255,371,22,1,14,24
12/2/2018,302,399,17,,15,25
12/3/2018,317,462,13,1,13,35
12/4/2018,348,312,14,,13,20
12/5/2018,286,411,14,9,13,26
12/6/2018,349,319,13,8,14,17
12/7/2018,305,309,16,7,15,16
12/8/2018,311,312,19,6,14,19
12/9/2018,314,546,23,6,14,22
12/10/2018,425,544,20,6,13,28
12/11/2018,421,370,9,7,12,22
12/12/2018,349,118,9,10,10,11
12/13/2018,183,165,8,17,9,12
12/14/2018,220,148,10,24,8,11
12/15/2018,206,206,20,32,10,12
12/16/2018,253,258,17,30,10,15
12/17/2018,274,294,23,28,11,15
12/18/2018,290,374,21,34,13,17
12/19/2018,338,474,20,34,12,25
12/20/2018,383,391,22,39,10,18
12/21/2018,366,554,22,52,13,20
12/22/2018,460,785,21,59,13,34
12/23/2018,581,630,26,44,11,35
12/24/2018,506,364,15,34,9,17
