Date,Cumulative,Daily,pm25,pm10,o3,no2,so2,co
3/2/2020,1,1,189,146,1,17,6,22
3/3/2020,1,0,162,174,9,19,7,17
3/4/2020,1,0,163,88,2,13,6,15
3/5/2020,2,1,121,64,2,15,5,14
3/6/2020,3,1,112,151,2,29,6,21
3/7/2020,3,0,170,142,4,20,5,21
3/8/2020,3,0,171,110,2,20,5,16
3/9/2020,4,1,149,114,5,20,6,16
3/10/2020,4,0,172,94,2,17,5,15
3/11/2020,5,1,149,139,6,17,6,18
3/12/2020,6,1,155,165,1,21,7,19
3/13/2020,6,0,163,81,1,22,5,16
3/14/2020,7,1,129,107,2,23,,16
3/15/2020,7,0,158,109,2,20,,16
3/16/2020,7,0,141,129,1,20,,17
3/17/2020,8,1,154,121,3,21,,16
3/18/2020,10,2,150,169,1,20,,20
3/19/2020,12,2,194,171,1,21,,24
3/20/2020,17,5,175,153,1,20,,23
3/21/2020,26,9,173,137,2,16,,27
3/22/2020,29,3,180,85,1,16,,23
3/23/2020,29,0,137,76,2,15,,24
3/24/2020,30,1,135,62,2,16,,37
3/25/2020,31,1,114,,,,,
3/28/2020,39,3,,47,2,14,6,11
3/29/2020,39,0,73,53,2,15,18,13
3/30/2020,53,14,100,57,1,16,6,13
3/31/2020,97,44,99,62,2,16,6,14
4/1/2020,152,55,104,56,2,15,5,15
4/2/2020,152,0,94,51,2,18,6,14
4/3/2020,219,67,96,59,2,18,7,15
4/4/2020,386,167,113,94,2,17,6,18
4/5/2020,445,59,147,85,2,17,6,17
4/6/2020,503,58,135,71,2,16,5,15
4/7/2020,523,20,89,61,3,18,6,14
4/8/2020,576,53,91,59,2,19,6,17
4/9/2020,669,93,109,79,2,19,6,17
4/10/2020,720,51,131,81,33,15,6,14
4/11/2020,903,183,128,64,28,14,6,11
4/12/2020,1069,166,108,88,32,16,7,11
4/13/2020,1154,85,139,99,40,17,6,13
4/14/2020,1510,356,144,114,30,16,6,12
4/15/2020,1561,51,143,124,33,16,7,11
4/16/2020,1578,17,145,66,32,14,6,9
4/17/2020,1640,62,84,70,30,12,6,10
4/18/2020,1707,67,91,54,23,13,5,12
4/19/2020,1893,186,105,87,15,13,5,12
4/20/2020,2003,110,127,63,24,12,5,11
4/21/2020,2081,78,114,89,30,15,6,12
4/22/2020,2156,75,139,90,27,14,6,13
4/23/2020,2248,92,132,81,31,14,5,13
4/24/2020,2376,128,142,63,29,12,5,11
4/25/2020,2514,138,85,80,19,11,5,12
4/26/2020,2625,111,104,46,23,10,5,11
4/27/2020,2918,293,85,60,30,9,6,11
4/28/2020,3108,190,115,77,32,10,6,12
4/29/2020,3314,206,137,79,34,10,5,13
4/30/2020,3439,125,137,92,31,10,6,12
5/1/2020,3515,76,151,79,22,9,5,13
5/2/2020,3738,223,99,62,13,9,5,12
5/3/2020,4122,384,96,45,23,9,5,13
5/4/2020,4549,427,81,72,23,12,6,13
5/5/2020,4898,349,126,106,26,11,6,13
5/6/2020,5104,206,144,58,32,10,5,13
5/7/2020,5532,428,93,76,36,11,5,13
5/8/2020,5980,448,124,83,33,10,6,13
5/9/2020,6318,338,140,103,42,10,5,11
5/10/2020,6542,224,114,68,36,11,5,11
5/11/2020,6923,381,120,70,34,11,6,12
5/12/2020,7233,310,123,104,32,12,6,15
5/13/2020,7639,406,159,81,28,12,6,13
5/14/2020,7998,359,144,66,16,11,6,14
