date, pm25, pm10, o3, no2, so2, co
18/01/18, ,515, , , , 
19/01/18,437,438, , , , 
20/01/18,350, , , , , 
22/01/18, ,317, , , , 
23/01/18,314,212,4,13,4,9
24/01/18,274,207,2,17,2,8
25/01/18,260,182,4,9,1,6
26/01/18,268,330,6,13,2,13
27/01/18,313,250,5,12,1,11
28/01/18,267,448,1,17,6,12
29/01/18,398,325,6,15,8,8
30/01/18,277,218,6,15,4,7
31/01/18,241,391,10,18,17,13
01/02/18,325,277,11,15,5,10
02/02/18,251,242,18,15,7,9
03/02/18,222,234,22,15,5,9
04/02/18,240,304,20,18,8,10
05/02/18,275,247,18,15,4,8
06/02/18,232,207,22,17,4,9
07/02/18,218,330,27,17,6,13
08/02/18,278,387,32,18,9,12
09/02/18,325,490,27,19,7,24
10/02/18,316,361,19,23,9,10
11/02/18,228,291,13,19,6,6
12/02/18,180,181,24,16,6,10
13/02/18,208,130,23,12,4,4
14/02/18,162,140,24,15,5,6
15/02/18,168,187,25,21,6,8
16/02/18,189,202,24,22,11,9
17/02/18,195,196,31, ,10,10
18/02/18,189,304,36,21,13,14
19/02/18,244,289,32,28,11,16
20/02/18,232,504,5,40,12,27
21/02/18,385,251,29,21,8,12
22/02/18,200,207,26,24,11,14
23/02/18,219,369,16,34,15,15
24/02/18,235,157,22,13,7,7
25/02/18,176,133,20,14,5,8
26/02/18,154,146,22,21,6,11
27/02/18,179,246,25,23,9,11
28/02/18,214,197,20,24,7,9
01/03/18,191,221,27,21,6,15
02/03/18,203,166,21,14,7,6
03/03/18,182,136,19,16,7,7
04/03/18,163,130,24,16,8,5
05/03/18,160,126,22,18,8,5
06/03/18,160,124,29,17,7,5
07/03/18,162,335,25,27,12,19
08/03/18,249,136,30,12,7,5
09/03/18,164,132,20,13,6,4
10/03/18,158,136,25,15,8,3
11/03/18,195,221,26,20,11,5
12/03/18,203,230,25,25,20,5
13/03/18,236,275,24,20,13,7
14/03/18,180,342,16,21,13,10
15/03/18,230,224,29,17,9,9
16/03/18,190,174,16,19,11,7
17/03/18,185, , , , , 
18/03/18, ,148,27,21,9,7
19/03/18,163,208,33,27,17,11
20/03/18,194,275,34,20,13,11
21/03/18,228,139,24,16,8,7
22/03/18,169,111,26,15,5,5
23/03/18,161,128,33,17,7,6
24/03/18,171,127,34,17,8,6
25/03/18,180,128,34,20,7,7
26/03/18,172,193,19,25,22,11
27/03/18,206,307,30,30,19,18
28/03/18,242,119,27,12,4,6
29/03/18,158,171,26,21,8,9
30/03/18,173,351,34,20,13,8
31/03/18,220,243,41,20,13,8
01/04/18,192,255,43,25,16,8
02/04/18,208,281,43,35,16,10
03/04/18,188, , , , , 
04/04/18, ,143,41,8,8,4
05/04/18,165,164,29,17,14,6
06/04/18,171,150,30,19,11,6
07/04/18,150,154,34,17,10,5
08/04/18,155,158,20,16,8,7
09/04/18,145,344,45,21,17,10
10/04/18,190,127,20,9,7,4
11/04/18,130,134,34,15,7,9
12/04/18,132,146,35,15,9,8
13/04/18,142,216,33,16,9,8
14/04/18,164,227,45,19,14,9
15/04/18,170,373,37,19,17,11
16/04/18,183,249,18,17,9,8
17/04/18,163,180,28,11,6,4
18/04/18,146,219,35,14,12,6
19/04/18,188,427,15,15,18,5
20/04/18,218,420,26,9,7,3
21/04/18,196,152,29,10,13,3
22/04/18,147,191,44,12,6,5
23/04/18,150,258,50,17,15,8
24/04/18,170,463,36,20,23,15
25/04/18,187,453,74,16,16,13
26/04/18,187,447,50,13,11,7
27/04/18,177,412,42,14,12,5
28/04/18,178,270,69,17,11,6
29/04/18,182,248,74,17,14,6
30/04/18,182,188,45,9,5,4
01/05/18,163,227,39,7,5,5
02/05/18,181,178,20,9,11,4
03/05/18,150,131,35,10,9,5
04/05/18,143,180,77,14,10,7
05/05/18,167,357,40,14,12,10
06/05/18,197,268,72,14,12,9
07/05/18,183,164,34,8,5,2
08/05/18,149,134,53,11,8,5
09/05/18,146,160,65,16,12,7
10/05/18,164,416,63,22,23,13
11/05/18,214,410,78,21,15,17
12/05/18,216,218,25,16,10,7
13/05/18,176,131,36,20,9,6
14/05/18,140,161,41,28,10,8
15/05/18,165,160,40,16,8,6
16/05/18,166,220,51,18,10,6
17/05/18,183,135,39,17,6,8
18/05/18,162,247,51,57,28,15
19/05/18,190,150,36,41,27,9
20/05/18,167,153,28,36,21,7
21/05/18,163,180,52,44,26,11
22/05/18,174,235,56,47,30,15
23/05/18,200,187,38,38,27,11
24/05/18,186,169,46,44,30,10
25/05/18,164,230,47,55,36,13
26/05/18,184,268,31,57,40,10
27/05/18,181,185,49,55,33,12
28/05/18,175,246,40,49,28,13
29/05/18,193,229,29,25,18,6
30/05/18,173,167,33,28,21,8
31/05/18,169,148,28,24,17,6
01/06/18,164, , , , , 
02/06/18, ,113,29,24,18,7
03/06/18,152,139,21,22,15,5
04/06/18,160,147,22,22,17,13
05/06/18,168,119,14,22,14,6
06/06/18,157,116,35,24,18,8
07/06/18,162,186,14,23,13,8
08/06/18,180,115,7,20,10,7
09/06/18,148,96,23,20,9,6
10/06/18,151,135,23,22,10,6
11/06/18,168,432,9,22,24,6
12/06/18,252,979,6,15,23,5
13/06/18,407,797,13,21,28,9
14/06/18,356,643,20,19,33,8
15/06/18,260,652,13,17,17,10
16/06/18,251,220,21,12,12,8
17/06/18,168,128,23,18,15,9
18/06/18,149,120,35,16,12,8
19/06/18,150,141,54,27,18,9
20/06/18,160,290,57,22,18,10
21/06/18,183,210,86,30,18,12
22/06/18,171,186,51,29,15,12
23/06/18,168,141,42,18,17,9
24/06/18,155,220,29,21,16,9
25/06/18,171,139,13,24,20,10
26/06/18,162,96,28,21,12,10
27/06/18,142,81,14,20,9,10
28/06/18,83,97,14,27,9,9
29/06/18,151,99,13,26,10,10
30/06/18,136,108,9,25,11,11
01/07/18,119,222,10,22,11,7
02/07/18,126,129,24,26,8,9
03/07/18,136,111,33,22,8,8
04/07/18,148,110,21,20,8,7
05/07/18,140,132,20,18,8,8
06/07/18,149,119,34,17,9,8
07/07/18,157,119,42,19,9,7
08/07/18,151,170,18,28,8,9
09/07/18,155,115,25,23,8,8
10/07/18,128,115,16,20,9,9
11/07/18,128,132,30,18,9,9
12/07/18,126,83,7,18,8,8
13/07/18,100,95,9,16,8,10
14/07/18,93,107,14,15,8,9
15/07/18,102,92,7,19,9,11
16/07/18,87,102,36,18,9,10
17/07/18,102,105,15,12,8,8
18/07/18,107,92,12,14,8,9
19/07/18,107,83,7,14,8,9
20/07/18,110,106,28,15,9,12
21/07/18,157,71,7,14,9,10
22/07/18,106,93,8,9,9,9
23/07/18,103,115,15,11,10,11
24/07/18,141,108,5,16,13,10
25/07/18,138,46,4,16,9,8
26/07/18,89,31,4,13,8,8
27/07/18,76,50,9,16,9,9
28/07/18,91,87,8,24,9,9
29/07/18,151,85,4,25,8,6
30/07/18,140,119,8,30,8,9
31/07/18,159,120,9,28,11,8
01/08/18,149,152,7,26,11,7
02/08/18,163,152,6,31,13,8
03/08/18,161,146,9,27,11,8
04/08/18,163,139,3,26,11,7
05/08/18,166,82,4,20,9,9
06/08/18,123,81,9,20,9,9
07/08/18,140,67,13,21,8,10
08/08/18,131,99,13,23,9,9
09/08/18,142,92,14,31,9,11
10/08/18,123,82,6,22,10,8
11/08/18,108,93,7,22,11,8
12/08/18,125,75,9,18,9,8
13/08/18,113,90,13,21,8,10
14/08/18,117,84,19,22,8,8
15/08/18,112,73,19,22,8,11
16/08/18,103,65,16,22,8,9
17/08/18,89,82,58,28,8,11
18/08/18,100,72,33,18,5,11
19/08/18,107,50,12,27,10,12
20/08/18,115,29,11,28,10,11
21/08/18,150,53,8,30,9,10
22/08/18,172,75,3,20,11,9
23/08/18,102,101,5,21,10,9
24/08/18,113,100,4,21,12,8
25/08/18,112,73,8,13,10,7
26/08/18,90,55,5,16,10,8
27/08/18,78,67,6,19,9,12
28/08/18,98,120,31,14,11,14
29/08/18,151,92,16,3,10,12
30/08/18,129,121,5,3,12,9
31/08/18,136,95,6,2,11,13
01/09/18,125,69,21, ,9,9
02/09/18,118,63,8, ,10,13
03/09/18,123,102,20, ,11,19
04/09/18,164,92,4, ,11,12
05/09/18,129,118,7,29,10,11
06/09/18,124,78,9,29,9,11
07/09/18,117,89,5,22,8,9
08/09/18,117,63,2,26,10,10
09/09/18,137,96,18,29,12,13
10/09/18,146,100,4,22,12,10
11/09/18,115,104,5,14,10,8
12/09/18,118,105,7,13,13,7
13/09/18,111,107,12,13,12,7
14/09/18,113,163,12,14,12,9
15/09/18,179,116,15,12,10,7
16/09/18,134,127,24,11,10,8
17/09/18,147,146,28,11,9,9
18/09/18,160,140,33,13,11,9
19/09/18,154,144,42,15,10,11
20/09/18,166,155,13,18,12,11
21/09/18,182,72,7,18,12,9
22/09/18,109, ,9,18,11,8
23/09/18,129, ,6,13,12,8
24/09/18,86, ,7,16,11,8
25/09/18,79, ,17,20,11,10
26/09/18,122, ,25,21,12,14
27/09/18,158, ,24,25,12,21
28/09/18,170, ,34,22,12,13
29/09/18,172, ,25,18,12,9
30/09/18,142,198,30,22,13,11
01/10/18,155,158,24,20,12,11
02/10/18,168,166,35,24,12,13
03/10/18,145,172,53,24,15,13
04/10/18,174,220,31,17,15,14
05/10/18,210,133,23,19,12,10
06/10/18,131,155,36,20,14,11
07/10/18,167,223,45,24,14,14
08/10/18,205,281,50,24,14,16
09/10/18,192,227,24,20,14,15
10/10/18,179,203,14,17,13,10
11/10/18,163,144,34,15,16,10
12/10/18,163,255,33,19,17,13
13/10/18,244,182,27,23,17,11
14/10/18,190,283,35,23,20,16
15/10/18,221,368,36,30,19,22
16/10/18,249,338,29,23,15,24
17/10/18,227,342,30,23,18,25
18/10/18,241,279,34,20,19,17
19/10/18,222,279,39,18,20,15
20/10/18,263,220,33,19,21,14
21/10/18,231,218,26,16,24,15
22/10/18,209,288,32,5,30,18
23/10/18,223,374,35,3,21,26
24/10/18,289,304,43,1,21,23
25/10/18,264,358,32,2,15,21
26/10/18,300,346,31,2,12,25
27/10/18,284,472,4,3,14,52
28/10/18,381,401,29,4,11,29
29/10/18,313,457,28,5,11,27
30/10/18,361,418,25,11,11,29
31/10/18,334,502,23,16,13,34
01/11/18,388,418,24,17,12,21
02/11/18,331,324,14,18,10,20
03/11/18,259,150,26,17,11,10
04/11/18,196,500,15,16,12,18
05/11/18,464,266,23,15,11,13
06/11/18,277,320,35,11,16,14
07/11/18,320,545,22,9,22,25
08/11/18,545,512,33,9,14,26
09/11/18,423,555,17,10,14,31
10/11/18,428,520,35,9,14,27
11/11/18,404,531,33,9,13,27
12/11/18,404,517,10,7,14,32
13/11/18,393,244,14,9,11,22
14/11/18,257,145,11,16,11,16
15/11/18,195,193,16,13,12,12
16/11/18,243,221,19,11,13,13
17/11/18,247,370,23,8,13,20
18/11/18,306,332,25,7,12,17
19/11/18,290,375,24,7,11,20
20/11/18,332,321,20,21,12,17
21/11/18,313,350,21,20,15,19
22/11/18,271,321,18,18,13,22
23/11/18,295,187,15,21,14,14
24/11/18,200,224,20,20,14,14
25/11/18,235,408,21,20,15,21
26/11/18,330,487,8,15,13,38
27/11/18,331,357,13,12,12,24
28/11/18,299,394,9,7,12,24
29/11/18,342,300,14,4,12,17
30/11/18,299,274,17,2,13,16
