Date,Cumulative,Daily
1/22/20,444,444
1/23/20,444,0
1/24/20,549,105
1/25/20,761,212
1/26/20,1058,297
1/27/20,1423,365
1/28/20,3554,2131
1/29/20,3554,0
1/30/20,4903,1349
1/31/20,5806,903
2/1/20,7153,1347
2/2/20,11177,4024
2/3/20,13522,2345
2/4/20,16678,3156
2/5/20,19665,2987
2/6/20,22112,2447
2/7/20,24953,2841
2/8/20,27100,2147
2/9/20,29631,2531
2/10/20,31728,2097
2/11/20,33366,1638
2/12/20,33366,0
2/13/20,48206,14840
2/14/20,54406,6200
2/15/20,56249,1843
2/16/20,58182,1933
2/17/20,59989,1807
2/18/20,61682,1693
2/19/20,62031,349
2/20/20,62442,411
2/21/20,62662,220
2/22/20,64084,1422
2/23/20,64084,0
2/24/20,64287,203
2/25/20,64786,499
2/26/20,65187,401
2/27/20,65596,409
2/28/20,65914,318
2/29/20,66337,423
3/1/20,66907,570
3/2/20,67103,196
3/3/20,67217,114
3/4/20,67332,115
3/5/20,67466,134
3/6/20,67592,126
3/7/20,67666,74
3/8/20,67707,41
3/9/20,67743,36
3/10/20,67760,17
3/11/20,67773,13
3/12/20,67781,8
3/13/20,67786,5
3/14/20,67790,4
3/15/20,67794,4
3/16/20,67798,4
3/17/20,67799,1
3/18/20,67800,1
3/19/20,67800,0
3/20/20,67800,0
3/21/20,67800,0
3/22/20,67800,0
3/23/20,67800,0
3/24/20,67801,1
3/25/20,67801,0
3/26/20,67801,0
3/27/20,67801,0
3/28/20,67801,0
3/29/20,67801,0
3/30/20,67801,0
3/31/20,67801,0
4/1/20,67802,1
4/2/20,67802,0
4/3/20,67802,0
4/4/20,67803,1
4/5/20,67803,0
4/6/20,67803,0
4/7/20,67803,0
4/8/20,67803,0
4/9/20,67803,0
4/10/20,67803,0
4/11/20,67803,0
4/12/20,67803,0
4/13/20,67803,0
4/14/20,67803,0
4/15/20,67803,0
4/16/20,67803,0
4/17/20,68128,325
4/18/20,68128,0
4/19/20,68128,0
4/20/20,68128,0
4/21/20,68128,0
4/22/20,68128,0
4/23/20,68128,0
4/24/20,68128,0
4/25/20,68128,0
4/26/20,68128,0
4/27/20,68128,0
4/28/20,68128,0
4/29/20,68128,0
4/30/20,68128,0
5/1/20,68128,0
5/2/20,68128,0
5/3/20,68128,0
5/4/20,68128,0
5/5/20,68128,0
5/6/20,68128,0
5/7/20,68128,0
5/8/20,68128,0
5/9/20,68129,1
5/10/20,68134,5
5/11/20,68134,0
5/12/20,68134,0
5/13/20,68134,0
