date, pm25, pm10, o3, no2, so2, co
14/05/20,145, , , , , 
13/05/20,139,65,40,20,7,11
12/05/20,99,88,82,36,7,10
11/05/20,99,70,74,28,5,6
10/05/20,72,72,62,34,5,11
09/05/20,79,31,54,13,3,8
08/05/20,80,29,38,8,3,9
07/05/20,119,29,35,12,2,11
06/05/20,121,49,39,17,5,16
05/05/20,127,52,34,16,6,15
04/05/20,132,44,37,9,2,10
03/05/20,112,72,65,35,6,14
02/05/20,136,58,73,23,4,7
01/05/20,150,67,59,23,4,9
30/04/20,148,58,69,17,5,10
29/04/20,130,71,51,34,6,10
28/04/20,109,73,84,42,7,9
27/04/20,110,59,82,32,8,13
26/04/20,99,62,66,28,4,7
25/04/20,88,57,59,28,5,6
24/04/20,96,51,56,30,5,5
23/04/20,135,54,53,24,4,6
22/04/20,132,64,55,26,6,10
21/04/20,109,58,55,25,9,11
20/04/20,135,52,37,17,4,7
19/04/20,84,49,33,26,4,9
18/04/20,116,27,61,10,2,7
17/04/20,118,55,42,14,3,10
16/04/20,134,74,47,13,6,7
15/04/20,100,63,72,24,12,9
14/04/20,107,50,68,30,9,7
13/04/20,101,51,57,30,10,7
12/04/20,111,46,63,28,3,6
11/04/20,47,46,65,15,3,5
10/04/20,119,21,39,4,2,4
09/04/20,126,60,25,13,3,6
08/04/20,105,61,94,38,6,8
07/04/20,112,55,70,30,4,7
06/04/20,100,55,62,23,6,8
05/04/20,151,55,52,17,5,7
04/04/20,150,64,85,20,5,9
03/04/20,156,60,61,18,5,10
02/04/20,121,62,43,15,4,9
01/04/20,101,46,45,13,3,8
31/03/20,91,39,39,15,4,10
30/03/20,71,37,23,13,4,7
29/03/20,62,24,30,8,3,7
28/03/20,62,18,29,10,4,8
27/03/20,59,19,35,9,5,8
26/03/20,99,21,26,6,3,6
25/03/20,111,52,36,13,6,13
24/03/20,127,42,25,12,6,11
23/03/20,147,54,39,13,8,11
22/03/20,145,64,66,17,8,14
21/03/20,139,70,46,9,4,11
20/03/20,111,62,36,19,8,14
19/03/20,113,76,62,18,10,8
18/03/20,136,57,57,19,5,8
17/03/20,142,62,49,16,6,8
16/03/20,142,64,59,25,6,9
15/03/20,107,68,41,22,8,11
14/03/20,148,67,52,19,4,6
13/03/20,157,65,45,11,4,8
12/03/20,153,74,33,16,3,10
11/03/20,138,58,30,19,13,13
10/03/20,138,61,46,20,6,10
09/03/20,146,49,40,11,3,8
08/03/20,115,49,37,8,3,9
07/03/20,130,34,31,14,7,13
06/03/20,146,44,44,14,6,12
05/03/20,155,49,34,12,9,9
04/03/20,124,55,52,15,6,9
03/03/20,93,41,43,15,6,12
02/03/20,106,29,23,10,2,10
01/03/20,111,39,29,10,5,13
29/02/20,83,39,34,8,3,12
28/02/20,66,20,36,11,4,14
27/02/20,123,17,17,9,3,13
26/02/20,147,46,26,12,5,13
25/02/20,160,57,27,9,4,16
24/02/20,131,72,43,15,4,14
23/02/20,128,55,43,12,9,14
22/02/20,144,60,43,15,8,12
21/02/20,140,53,42,14,6,13
20/02/20,128,49,33,14,4,11
19/02/20,100,49,42,20,6,14
18/02/20,89,34,37,13,7,11
17/02/20,72,29,43,17,5,10
